;;;;;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR
;;;;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/01/2022;P;310.76;298.11;292.65;285.57;271.92;258.49;243.54;216.14;172.33;64.08;59.08;31.65;47.06;29.9;14.66;180.29;253.95;318.26;327.52;332.81;324.24;311.28;302.77;300.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/02/2022;P;299.09;294.49;293.14;287.99;289.97;287.01;264.44;226.32;170.86;106.92;45.43;6.56;2.65;37.69;105.11;190.01;384.27;375.19;363.49;349.14;335.05;325.62;309.75;289.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/03/2022;P;316.05;320.1;316.11;314.76;313.92;318.72;297.71;262.66;241.41;167.41;70.58;23.46;1.18;28.06;104.94;183.05;200.1;315.82;335.05;323.35;319.56;312;313.75;310.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/04/2022;P;275.74;259.78;253.37;248.54;251.53;270.31;266.6;211.26;44.1;30.56;70.35;37;42.23;19.61;97.06;217.24;266.23;303.54;317.57;315.27;318.09;310.18;309.09;305.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/05/2022;P;302.36;299.98;288.88;290.43;281.32;281.38;266.97;218.53;108.19;74.49;7.76;11.24;14.17;26.62;88.66;146.6;164.34;272.92;307.74;307.4;295.23;283.36;282.41;285.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/06/2022;P;288.45;281.69;276.86;270.51;272.87;272.72;261.19;203.78;120.61;29.96;9.37;23.06;30.88;97.89;167.44;190.9;276.46;371.22;379.93;373.09;351.67;343.62;320.39;306.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/07/2022;P;314.47;308.69;298.71;292.65;294.08;288.91;278.19;245.87;189.03;121.15;12.82;4.63;2.21;29.56;92.58;202.89;290.92;378.03;385.97;380.45;341.55;332.18;319.01;315.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/08/2022;P;310.76;298.11;292.65;285.57;271.92;258.49;243.54;216.14;172.33;64.08;59.08;31.65;47.06;29.9;14.66;180.29;253.95;318.26;327.52;332.81;324.24;311.28;302.77;300.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt20388;ITALCOL SAN MARINO FLANDES V1;2841235;06/09/2022;P;299.09;294.49;293.14;287.99;289.97;287.01;264.44;226.32;170.86;106.92;45.43;6.56;2.65;37.69;105.11;190.01;384.27;375.19;363.49;349.14;335.05;325.62;309.75;289.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
