,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/06/2022,P,979.2,1018.8,964.8,1152,838.8,993.6,957.6,853.2,842.4,1213.2,1231.2,1353.6,1252.8,1245.6,1083.6,1119.6,1155.6,1389.6,1324.8,1368,1137.6,853.2,1112.4,1000.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.8,363.6,338.4,439.2,298.8,363.6,399.6,374.4,306,410.4,435.6,489.6,511.2,432,370.8,374.4,417.6,529.2,504,496.8,381.6,273.6,410.4,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/06/2022,P,968.4,979.2,990,910.8,1159.2,939.6,716.4,946.8,799.2,496.8,424.8,673.2,435.6,907.2,1090.8,1087.2,1191.6,1191.6,896.4,1159.2,925.2,946.8,918,979.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.8,324,370.8,396,432,306,234,342,352.8,172.8,144,234,144,277.2,381.6,406.8,446.4,475.2,327.6,457.2,349.2,334.8,306,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/06/2022,P,932.4,1108.8,943.2,694.8,1112.4,896.4,925.2,1137.6,957.6,1062,925.2,1018.8,1044,918,968.4,1076.4,1134,1065.6,925.2,1015.2,1202.4,925.2,763.2,745.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.6,417.6,349.2,248.4,399.6,291.6,320.4,442.8,403.2,435.6,309.6,396,442.8,356.4,313.2,428.4,442.8,392.4,316.8,435.6,486,302.4,259.2,334.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,4/06/2022,P,928.8,817.2,903.6,1166.4,939.6,838.8,882,1123.2,1209.6,1173.6,1112.4,1180.8,1180.8,781.2,838.8,1134,1155.6,1134,1054.8,997.2,939.6,169.2,75.6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.6,273.6,374.4,475.2,367.2,306,334.8,442.8,468,475.2,464.4,464.4,468,306,356.4,482.4,493.2,496.8,399.6,388.8,320.4,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,32.4,32.4
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/06/2022,P,64.8,68.4,61.2,61.2,57.6,57.6,46.8,97.2,104.4,108,104.4,97.2,97.2,93.6,97.2,93.6,97.2,111.6,115.2,111.6,129.6,223.2,637.2,626.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,3.6,7.2,14.4,3.6,0,0,0,3.6,3.6,10.8,7.2,0,3.6,54,176.4,183.6,36,32.4,36,36,36,39.6,32.4,0,0,0,0,0,0,3.6,0,0,3.6,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,6/06/2022,P,493.2,694.8,788.4,799.2,856.8,615.6,255.6,360,417.6,410.4,381.6,500.4,378,604.8,1087.2,838.8,738,914.4,781.2,867.6,1065.6,799.2,1062,716.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.2,291.6,277.2,324,306,187.2,75.6,118.8,129.6,126,118.8,154.8,126,219.6,471.6,327.6,302.4,403.2,313.2,385.2,432,295.2,381.6,277.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/06/2022,P,907.2,957.6,986.4,990,1036.8,1058.4,1051.2,741.6,759.6,514.8,453.6,320.4,403.2,439.2,990,842.4,806.4,802.8,756,828,1051.2,824.4,856.8,817.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.2,363.6,392.4,410.4,424.8,435.6,388.8,270,259.2,180,154.8,126,147.6,165.6,374.4,288,270,273.6,241.2,313.2,399.6,244.8,327.6,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/06/2022,P,979.2,813.6,1033.2,1000.8,918,802.8,723.6,849.6,882,1180.8,1328.4,1220.4,1029.6,982.8,1234.8,1080,1036.8,1051.2,1180.8,982.8,1152,752.4,910.8,961.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.4,280.8,363.6,363.6,331.2,280.8,234,288,316.8,435.6,514.8,482.4,374.4,370.8,486,482.4,392.4,381.6,421.2,360,439.2,284.4,363.6,403.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/06/2022,P,950.4,860.4,997.2,900,979.2,1062,752.4,914.4,1159.2,1018.8,975.6,907.2,723.6,529.2,424.8,568.8,1173.6,1198.8,1098,1040.4,928.8,792,896.4,856.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.4,374.4,320.4,277.2,392.4,363.6,244.8,280.8,468,410.4,385.2,309.6,270,183.6,140.4,234,424.8,435.6,432,435.6,363.6,306,388.8,356.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
