,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/01/2022,P,1026,975.6,1033.2,1054.8,957.6,1080,1080,1184.4,1076.4,943.2,1080,1101.6,1087.2,997.2,957.6,572.4,986.4,1108.8,1119.6,1062,1180.8,1062,936,1022.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.8,583.2,572.4,572.4,543.6,525.6,572.4,583.2,576,522,579.6,615.6,615.6,511.2,417.6,295.2,532.8,615.6,633.6,601.2,648,604.8,579.6,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/02/2022,P,986.4,1108.8,993.6,986.4,766.8,241.2,147.6,115.2,100.8,104.4,97.2,93.6,97.2,108,219.6,579.6,518.4,774,745.2,795.6,694.8,525.6,766.8,824.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.8,669.6,615.6,626.4,558,223.2,75.6,64.8,57.6,68.4,61.2,61.2,61.2,68.4,158.4,370.8,410.4,525.6,486,482.4,486,316.8,424.8,428.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADROÑO PTA PRINCIPAL,38289327,10/01/2022,P,117.45,110.1,113.7,108.15,107.55,118.95,97.95,94.35,83.1,90.15,78.6,56.25,66,89.25,90,90.45,73.95,131.55,121.65,117,120.3,103.35,107.85,120.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,49.05,59.4,55.5,61.95,56.1,40.35,33.3,28.2,34.05,29.85,18,27.6,38.25,37.05,40.05,30.75,61.8,51.75,53.1,40.95,37.5,47.25,50.25,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADROÑO PTA PRINCIPAL,38289327,10/02/2022,P,112.35,115.2,104.55,114.3,114.3,115.95,102.75,110.85,122.7,116.85,115.5,109.5,123.9,130.2,124.8,125.55,103.35,119.85,112.65,112.5,110.55,100.2,114.6,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.75,58.2,46.8,48.3,52.95,61.05,47.55,46.65,45.6,50.25,35.1,36.9,50.1,62.7,55.05,57.9,43.2,51.45,47.55,52.35,49.95,39.9,62.85,62.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt01153,AVICOLA EL MADROÑO CARTAGENA PRINCIPAL,38289432,10/01/2022,P,979.2,1051.2,1137.6,1195.2,1195.2,1180.8,1224,1339.2,1267.2,1396.8,1382.4,1368,1382.4,1368,1454.4,1497.6,1440,1281.6,1180.8,1022.4,993.6,1036.8,1022.4,993.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.4,345.6,403.2,460.8,432,446.4,475.2,561.6,547.2,619.2,604.8,576,590.4,590.4,662.4,691.2,633.6,532.8,460.8,331.2,331.2,345.6,345.6,331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt01153,AVICOLA EL MADROÑO CARTAGENA PRINCIPAL,38289432,10/02/2022,P,979.2,1080,1180.8,1152,1166.4,1137.6,1180.8,964.8,460.8,475.2,475.2,489.6,460.8,475.2,446.4,619.2,1166.4,1166.4,1137.6,1137.6,1108.8,1123.2,1108.8,1036.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,345.6,446.4,403.2,417.6,374.4,460.8,316.8,28.8,28.8,28.8,43.2,28.8,28.8,14.4,115.2,417.6,417.6,388.8,374.4,388.8,388.8,388.8,316.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt01615,ITALCOL BELLINI,2841136,10/01/2022,P,393.68,397.19,392.04,396.16,398.23,399.49,402.68,402.21,403.83,397.66,339.95,380.52,375.89,371.09,404.64,403.7,401.02,395.51,399.69,403.25,406.85,399.55,390.08,390.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.53,148.86,142.79,152.35,154.42,154.82,154.15,152.77,155.72,155.36,130.86,154.44,157.41,156.85,155.93,156.26,155.34,153.29,154.21,153.63,156.67,156.17,151.09,152.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt01615,ITALCOL BELLINI,2841136,10/02/2022,P,397.46,381.33,359.37,354.06,348.62,352.04,338.81,341.62,342.72,353.07,372.49,376.7,379.06,378.83,375.23,375.39,363.53,367.52,325.01,264.35,132.28,126.72,119.61,22.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.9,151.94,147.62,144.68,143.73,143.62,131.58,127.94,132.39,144.2,149.42,152.35,154.78,154.42,150.62,149.27,144.95,146.45,131.67,105.73,29.52,22.86,25.52,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,4.48
Frt01751,POLLOSAN INCUBACION V1,2839463,10/01/2022,P,102.47,99.35,97.76,93.36,95.78,102.63,103.42,106.59,100.68,106,112.81,116.41,117.56,108.47,111.62,110.3,104.94,99.53,100.82,97.2,98.42,94.63,93.09,92.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.74,17.26,16.57,16.81,16.91,21.98,22.04,22.11,18.51,23.18,25.69,27.42,28.53,26.71,27.27,27.13,24.45,21.33,22.41,19.87,20.38,17.92,16.52,15.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
