,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/01/2022,P,1026,975.6,1033.2,1054.8,957.6,1080,1080,1184.4,1076.4,943.2,1080,1101.6,1087.2,997.2,957.6,572.4,986.4,1108.8,1119.6,1062,1180.8,1062,936,1022.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.8,583.2,572.4,572.4,543.6,525.6,572.4,583.2,576,522,579.6,615.6,615.6,511.2,417.6,295.2,532.8,615.6,633.6,601.2,648,604.8,579.6,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/02/2022,P,986.4,1108.8,993.6,986.4,766.8,241.2,147.6,115.2,100.8,104.4,97.2,93.6,97.2,108,219.6,579.6,518.4,774,745.2,795.6,694.8,525.6,766.8,824.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.8,669.6,615.6,626.4,558,223.2,75.6,64.8,57.6,68.4,61.2,61.2,61.2,68.4,158.4,370.8,410.4,525.6,486,482.4,486,316.8,424.8,428.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/03/2022,P,1069.2,1126.8,1116,1227.6,1047.6,655.2,720,1170,878.4,1029.6,939.6,1116,932.4,1090.8,874.8,867.6,1083.6,1152,1195.2,1238.4,925.2,774,986.4,950.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.4,640.8,619.2,651.6,594,345.6,388.8,619.2,529.2,550.8,532.8,586.8,507.6,619.2,514.8,532.8,594,612,590.4,630,471.6,450,550.8,518.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/04/2022,P,1134,1108.8,1098,1137.6,1036.8,1022.4,691.2,903.6,1116,1051.2,946.8,1202.4,1278,831.6,792,694.8,918,1065.6,745.2,975.6,1101.6,1044,1040.4,849.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615.6,601.2,579.6,604.8,529.2,583.2,482.4,514.8,630,604.8,500.4,651.6,658.8,457.2,439.2,453.6,500.4,554.4,334.8,442.8,514.8,435.6,435.6,475.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADROÑO PTA PRINCIPAL,38289327,10/01/2022,P,117.45,110.1,113.7,108.15,107.55,118.95,97.95,94.35,83.1,90.15,78.6,56.25,66,89.25,90,90.45,73.95,131.55,121.65,117,120.3,103.35,107.85,120.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,49.05,59.4,55.5,61.95,56.1,40.35,33.3,28.2,34.05,29.85,18,27.6,38.25,37.05,40.05,30.75,61.8,51.75,53.1,40.95,37.5,47.25,50.25,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADROÑO PTA PRINCIPAL,38289327,10/02/2022,P,112.35,115.2,104.55,114.3,114.3,115.95,102.75,110.85,122.7,116.85,115.5,109.5,123.9,130.2,124.8,125.55,103.35,119.85,112.65,112.5,110.55,100.2,114.6,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.75,58.2,46.8,48.3,52.95,61.05,47.55,46.65,45.6,50.25,35.1,36.9,50.1,62.7,55.05,57.9,43.2,51.45,47.55,52.35,49.95,39.9,62.85,62.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADROÑO PTA PRINCIPAL,38289327,10/03/2022,P,108.3,102.6,109.95,104.85,93,93.3,75.6,96.45,80.7,58.8,61.5,67.8,118.2,113.25,98.1,98.85,82.65,110.55,111.45,109.65,112.95,98.55,101.85,104.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,45.6,54,53.55,41.55,33.45,27.15,37.8,28.65,25.65,25.95,26.4,48.6,49.65,34.05,37.2,32.1,54,58.05,44.55,45.45,39.45,54,51.3,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADROÑO PTA PRINCIPAL,38289327,10/04/2022,P,110.7,106.05,92.1,101.1,100.95,110.1,79.5,56.55,66,71.4,81.9,77.4,76.5,75.15,73.95,70.2,90.45,89.1,87.9,87,81.3,81,83.55,78.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1,60.6,47.55,52.65,62.7,55.05,39,21.6,28.5,30.6,34.2,23.55,28.5,22.35,26.85,26.55,29.25,27.6,34.05,32.1,26.1,28.2,32.55,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.15,0,0,0.15
Frt01153,AVICOLA EL MADROÑO CARTAGENA PRINCIPAL,38289432,10/01/2022,P,979.2,1051.2,1137.6,1195.2,1195.2,1180.8,1224,1339.2,1267.2,1396.8,1382.4,1368,1382.4,1368,1454.4,1497.6,1440,1281.6,1180.8,1022.4,993.6,1036.8,1022.4,993.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.4,345.6,403.2,460.8,432,446.4,475.2,561.6,547.2,619.2,604.8,576,590.4,590.4,662.4,691.2,633.6,532.8,460.8,331.2,331.2,345.6,345.6,331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
