;;;;;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhD;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kWhR;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhD;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR;kVarhR
;;;;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Frt00771;ITALCOL FUNZA PRINCIPAL;38289435;9/01/2022;P;554.4;590.4;781.2;871.2;1152;997.2;777.6;756;766.8;622.8;640.8;885.6;928.8;975.6;954;882;835.2;946.8;936;867.6;1152;1026;954;1000.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176.4;190.8;309.6;363.6;424.8;385.2;345.6;288;277.2;270;306;414;385.2;396;439.2;399.6;399.6;385.2;435.6;392.4;486;406.8;439.2;471.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt00771;ITALCOL FUNZA PRINCIPAL;38289435;9/02/2022;P;896.4;1051.2;1177.2;1105.2;1094.4;943.2;1069.2;1155.6;1159.2;1173.6;1058.4;1216.8;968.4;961.2;1008;946.8;1069.2;979.2;1108.8;1126.8;1162.8;1000.8;1198.8;1155.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;432;493.2;471.6;428.4;352.8;453.6;504;504;493.2;399.6;478.8;356.4;367.2;406.8;367.2;489.6;482.4;504;500.4;489.6;374.4;496.8;507.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt00771;ITALCOL FUNZA PRINCIPAL;38289435;9/03/2022;P;1119.6;1094.4;1090.8;1252.8;1130.4;860.4;932.4;1008;1137.6;1033.2;1054.8;1108.8;1116;1177.2;835.2;1026;993.6;1040.4;1018.8;1000.8;972;946.8;1094.4;864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;478.8;482.4;417.6;543.6;511.2;399.6;356.4;417.6;493.2;428.4;432;468;475.2;504;403.2;414;446.4;392.4;432;450;442.8;378;500.4;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt00771;ITALCOL FUNZA PRINCIPAL;38289435;9/04/2022;P;957.6;903.6;921.6;878.4;702;201.6;118.8;122.4;118.8;108;136.8;133.2;108;104.4;97.2;97.2;93.6;100.8;126;133.2;208.8;838.8;1015.2;1137.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;432;392.4;381.6;432;316.8;82.8;21.6;21.6;18;14.4;25.2;36;14.4;18;14.4;18;18;14.4;18;21.6;75.6;356.4;442.8;507.6;0;0;0;0;0;0;0;0;3.6;0;0;0;0;3.6;0;0;0;0;3.6;0;0;0;0;0
Frt00771;ITALCOL FUNZA PRINCIPAL;38289435;9/05/2022;P;1094.4;874.8;853.2;849.6;961.2;759.6;626.4;489.6;759.6;831.6;709.2;799.2;669.6;417.6;637.2;759.6;824.4;831.6;943.2;601.2;763.2;1047.6;1065.6;1195.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428.4;356.4;313.2;378;388.8;291.6;212.4;201.6;327.6;396;262.8;302.4;306;144;237.6;270;273.6;298.8;378;306;392.4;460.8;450;496.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt00981;AVICOLA EL MADROÑO PTA PRINCIPAL;38289327;9/01/2022;P;100.65;103.05;89.85;84.6;92.4;101.85;78.3;64.05;70.2;80.55;70.8;71.85;76.5;70.35;101.25;97.5;100.2;95.25;98.7;96;96.45;87.45;86.55;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.05;37.95;36.9;33;32.55;32.4;25.05;20.85;22.5;26.25;22.8;31.5;34.2;31.05;37.05;35.85;31.95;33.75;31.2;34.05;28.05;32.1;33.15;36.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Frt00981;AVICOLA EL MADROÑO PTA PRINCIPAL;38289327;9/02/2022;P;94.35;82.65;83.55;93.3;85.35;87.75;71.1;73.65;67.5;77.4;96.3;100.95;87.75;75.75;78;102.3;116.25;106.65;106.8;102.6;94.35;87.6;80.1;98.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.75;33.45;31.5;37.65;34.2;31.65;28.95;25.2;23.7;27.3;37.65;33.3;31.2;25.05;26.1;33.75;49.8;41.85;39.75;36.6;29.25;22.5;30;34.2;0;0;0.15;0;0;0;0;0;0;0;0;0;0;0.15;0;0;0;0;0;0;0;0;0;0
Frt00981;AVICOLA EL MADROÑO PTA PRINCIPAL;38289327;9/03/2022;P;92.4;90;83.7;95.85;89.25;88.05;88.95;93.9;95.85;94.95;91.65;93.9;90.15;61.95;72.3;107.7;99.9;87.6;75.3;88.8;97.65;85.5;74.85;91.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.9;34.95;36.75;35.55;33.3;35.1;30.6;29.85;31.05;31.05;32.55;38.25;33.9;21.45;27.45;37.35;33.3;31.2;27;33.6;25.8;26.1;25.8;30.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15;0;0;0;0;0
Frt00981;AVICOLA EL MADROÑO PTA PRINCIPAL;38289327;9/04/2022;P;96.15;91.05;76.95;88.05;91.2;98.55;79.2;90.6;92.85;111.15;90;84.9;89.25;97.05;94.05;77.85;83.4;87.3;87.9;84;87.15;86.4;93.45;85.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.75;33.9;29.4;34.35;31.95;33.45;29.1;25.2;27;43.2;33.45;31.65;27.6;37.2;26.7;27.45;25.2;27.6;26.85;32.4;27.15;25.5;31.95;33.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
