,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/01/2022,P,1026,975.6,1033.2,1054.8,957.6,1080,1080,1184.4,1076.4,943.2,1080,1101.6,1087.2,997.2,957.6,572.4,986.4,1108.8,1119.6,1062,1180.8,1062,936,1022.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.8,583.2,572.4,572.4,543.6,525.6,572.4,583.2,576,522,579.6,615.6,615.6,511.2,417.6,295.2,532.8,615.6,633.6,601.2,648,604.8,579.6,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/02/2022,P,986.4,1108.8,993.6,986.4,766.8,241.2,147.6,115.2,100.8,104.4,97.2,93.6,97.2,108,219.6,579.6,518.4,774,745.2,795.6,694.8,525.6,766.8,824.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.8,669.6,615.6,626.4,558,223.2,75.6,64.8,57.6,68.4,61.2,61.2,61.2,68.4,158.4,370.8,410.4,525.6,486,482.4,486,316.8,424.8,428.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/03/2022,P,1069.2,1126.8,1116,1227.6,1047.6,655.2,720,1170,878.4,1029.6,939.6,1116,932.4,1090.8,874.8,867.6,1083.6,1152,1195.2,1238.4,925.2,774,986.4,950.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.4,640.8,619.2,651.6,594,345.6,388.8,619.2,529.2,550.8,532.8,586.8,507.6,619.2,514.8,532.8,594,612,590.4,630,471.6,450,550.8,518.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/04/2022,P,1134,1108.8,1098,1137.6,1036.8,1022.4,691.2,903.6,1116,1051.2,946.8,1202.4,1278,831.6,792,694.8,918,1065.6,745.2,975.6,1101.6,1044,1040.4,849.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615.6,601.2,579.6,604.8,529.2,583.2,482.4,514.8,630,604.8,500.4,651.6,658.8,457.2,439.2,453.6,500.4,554.4,334.8,442.8,514.8,435.6,435.6,475.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/05/2022,P,932.4,1022.4,954,1191.6,1072.8,1076.4,964.8,1123.2,997.2,1278,1090.8,1256.4,1224,1213.2,1000.8,1180.8,1382.4,1299.6,1184.4,993.6,1036.8,1206,1065.6,1180.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.2,518.4,493.2,565.2,529.2,522,428.4,568.8,532.8,572.4,532.8,529.2,572.4,482.4,414,504,565.2,507.6,471.6,424.8,349.2,428.4,432,482.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/06/2022,P,928.8,1051.2,1123.2,982.8,1018.8,939.6,954,1141.2,1144.8,1184.4,1238.4,1328.4,1047.6,1116,1123.2,1094.4,910.8,1029.6,1018.8,1144.8,831.6,813.6,950.4,1000.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.8,414,475.2,424.8,435.6,378,396,403.2,457.2,428.4,514.8,550.8,421.2,403.2,421.2,424.8,349.2,388.8,396,439.2,360,262.8,334.8,345.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/07/2022,P,1126.8,788.4,687.6,748.8,691.2,453.6,457.2,460.8,514.8,648,900,1238.4,1209.6,1216.8,1191.6,1026,1144.8,892.8,1026,1069.2,752.4,784.8,982.8,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.4,309.6,208.8,284.4,230.4,147.6,151.2,147.6,180,226.8,284.4,417.6,439.2,464.4,432,406.8,460.8,298.8,360,410.4,277.2,273.6,345.6,385.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/08/2022,P,975.6,1144.8,1224,1015.2,1015.2,1166.4,979.2,1184.4,1245.6,1015.2,1076.4,1098,835.2,892.8,892.8,756,910.8,752.4,842.4,788.4,842.4,838.8,813.6,1144.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.8,450,450,338.4,338.4,432,392.4,478.8,478.8,424.8,414,396,360,378,367.2,342,360,266.4,295.2,277.2,295.2,302.4,280.8,392.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,10/09/2022,P,1058.4,1040.4,932.4,950.4,853.2,172.8,90,100.8,108,97.2,90,86.4,90,79.2,79.2,90,111.6,136.8,439.2,421.2,270,399.6,673.2,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.2,388.8,378,334.8,298.8,28.8,0,0,0,0,0,0,0,0,0,0,18,25.2,172.8,187.2,86.4,122.4,226.8,349.2,0,0,0,0,0,0,7.2,7.2,7.2,7.2,7.2,7.2,14.4,10.8,10.8,10.8,0,0,0,0,0,0,0,0
