,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/01/2022,P,961.2,1029.6,1116,1076.4,1155.6,770.4,810,1206,1191.6,1195.2,1328.4,982.8,1036.8,1134,1188,1054.8,972,1119.6,968.4,1065.6,1216.8,1101.6,1004.4,997.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.4,630,633.6,597.6,640.8,486,522,669.6,691.2,626.4,720,590.4,511.2,392.4,475.2,471.6,381.6,392.4,334.8,406.8,471.6,385.2,320.4,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/02/2022,P,1141.2,918,1184.4,907.2,1058.4,838.8,604.8,975.6,1238.4,1072.8,903.6,982.8,1177.2,1080,990,1170,1184.4,1260,1126.8,1108.8,1051.2,788.4,1008,975.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.8,324,453.6,334.8,421.2,273.6,259.2,381.6,489.6,374.4,334.8,417.6,435.6,378,345.6,482.4,504,518.4,471.6,432,442.8,277.2,388.8,421.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/03/2022,P,820.8,918,982.8,820.8,756,183.6,122.4,111.6,115.2,118.8,100.8,97.2,100.8,90,90,93.6,100.8,100.8,86.4,61.2,64.8,61.2,61.2,57.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,324,338.4,370.8,306,46.8,18,18,14.4,14.4,10.8,10.8,10.8,10.8,10.8,14.4,14.4,18,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,3.6,10.8,7.2,7.2,10.8,10.8
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/04/2022,P,57.6,61.2,57.6,57.6,54,57.6,43.2,43.2,46.8,54,50.4,46.8,46.8,86.4,104.4,104.4,111.6,147.6,205.2,255.6,457.2,748.8,838.8,964.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,18,21.6,18,36,72,90,151.2,262.8,378,435.6,14.4,10.8,10.8,10.8,14.4,10.8,14.4,10.8,10.8,7.2,7.2,7.2,14.4,3.6,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/05/2022,P,882,997.2,1029.6,936,925.2,734.4,892.8,892.8,1015.2,1166.4,1033.2,882,1094.4,1119.6,1015.2,1209.6,1029.6,997.2,864,874.8,1011.6,1022.4,1144.8,1087.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.6,435.6,435.6,417.6,370.8,280.8,367.2,338.4,378,489.6,370.8,306,421.2,471.6,424.8,507.6,432,381.6,349.2,352.8,388.8,446.4,511.2,410.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/06/2022,P,1112.4,1306.8,1238.4,1105.2,1018.8,1231.2,1033.2,979.2,1108.8,1195.2,1098,1141.2,1141.2,993.6,878.4,777.6,810,1051.2,1087.2,1414.8,1303.2,1044,1011.6,907.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,536.4,525.6,482.4,399.6,504,439.2,345.6,450,417.6,428.4,464.4,442.8,453.6,392.4,320.4,331.2,417.6,385.2,532.8,489.6,345.6,338.4,331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/07/2022,P,1191.6,1245.6,1090.8,1018.8,1274.4,982.8,748.8,500.4,446.4,601.2,885.6,1198.8,1346.4,1119.6,1058.4,1170,1047.6,1324.8,936,954,853.2,702,878.4,910.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,525.6,442.8,352.8,486,374.4,342,169.2,151.2,208.8,288,388.8,511.2,378,396,460.8,385.2,496.8,349.2,388.8,396,295.2,302.4,309.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/08/2022,P,907.2,957.6,1148.4,1152,1245.6,1087.2,1134,1285.2,1155.6,1368,1213.2,1148.4,1202.4,1227.6,1180.8,1306.8,1234.8,928.8,939.6,1130.4,1155.6,1029.6,932.4,1040.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.4,316.8,464.4,478.8,522,378,428.4,525.6,468,565.2,475.2,396,471.6,486,504,529.2,525.6,367.2,349.2,478.8,493.2,381.6,327.6,424.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,7/09/2022,P,1130.4,1177.2,1155.6,1173.6,1422,1162.8,770.4,471.6,831.6,975.6,1126.8,1166.4,972,752.4,608.4,511.2,532.8,392.4,280.8,201.6,136.8,93.6,86.4,82.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.4,486,450,496.8,572.4,453.6,295.2,219.6,320.4,352.8,424.8,432,385.2,309.6,201.6,169.2,180,144,97.2,68.4,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7.2,7.2
