,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/01/2022,P,972,997.2,986.4,975.6,1080,882,918,1058.4,1112.4,1065.6,1159.2,936,889.2,907.2,1054.8,1166.4,1094.4,871.2,1108.8,936,1242,1209.6,1112.4,1209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.2,342,399.6,345.6,374.4,360,388.8,432,392.4,406.8,471.6,352.8,399.6,324,403.2,435.6,421.2,288,374.4,367.2,453.6,424.8,378,460.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/02/2022,P,1278,1137.6,1317.6,1342.8,1116,1119.6,1051.2,867.6,1072.8,986.4,763.2,604.8,759.6,619.2,666,766.8,802.8,1101.6,1112.4,964.8,1076.4,1087.2,925.2,1123.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.6,374.4,482.4,500.4,374.4,360,388.8,370.8,424.8,381.6,316.8,216,270,219.6,219.6,248.4,295.2,417.6,403.2,370.8,414,360,360,421.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/03/2022,P,1076.4,1040.4,1090.8,1177.2,1188,802.8,900,579.6,1015.2,1015.2,1094.4,716.4,529.2,561.6,385.2,360,702,680.4,802.8,1119.6,1206,1090.8,1116,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.6,370.8,392.4,432,392.4,313.2,399.6,205.2,363.6,410.4,399.6,277.2,194.4,194.4,140.4,140.4,237.6,244.8,295.2,388.8,446.4,432,392.4,460.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/04/2022,P,1112.4,1141.2,1094.4,1094.4,1126.8,874.8,1087.2,1188,1382.4,1281.6,964.8,1054.8,882,979.2,982.8,1126.8,1047.6,1090.8,1112.4,1029.6,1245.6,1090.8,1036.8,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.6,432,370.8,381.6,381.6,313.2,414,450,518.4,478.8,385.2,414,421.2,428.4,435.6,446.4,374.4,435.6,453.6,450,475.2,439.2,367.2,298.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/05/2022,P,867.6,990,1004.4,975.6,1281.6,918,882,972,1029.6,1026,961.2,1195.2,1202.4,907.2,1062,975.6,1033.2,1137.6,1141.2,954,1054.8,1072.8,1126.8,1141.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.8,367.2,396,331.2,450,316.8,313.2,396,381.6,403.2,349.2,439.2,442.8,316.8,442.8,345.6,316.8,428.4,424.8,378,342,367.2,439.2,392.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/06/2022,P,1094.4,1252.8,1036.8,961.2,1198.8,1072.8,864,914.4,1076.4,1000.8,961.2,910.8,788.4,1036.8,878.4,831.6,903.6,1015.2,716.4,871.2,813.6,147.6,61.2,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.2,489.6,417.6,363.6,468,399.6,356.4,381.6,446.4,432,392.4,331.2,316.8,410.4,309.6,291.6,374.4,352.8,230.4,284.4,302.4,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,14.4,18
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/07/2022,P,61.2,57.6,57.6,61.2,57.6,54,57.6,86.4,90,64.8,100.8,104.4,100.8,90,100.8,97.2,111.6,111.6,180,270,417.6,597.6,928.8,950.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,25.2,43.2,32.4,36,18,18,21.6,32.4,28.8,28.8,28.8,100.8,158.4,270,295.2,295.2,313.2,14.4,18,18,14.4,18,14.4,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/08/2022,P,1065.6,1137.6,979.2,1159.2,1011.6,619.2,705.6,417.6,644.4,684,694.8,723.6,644.4,496.8,471.6,331.2,558,961.2,1076.4,979.2,1119.6,867.6,1011.6,1018.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.8,464.4,428.4,482.4,410.4,295.2,313.2,165.6,226.8,252,273.6,277.2,223.2,176.4,259.2,205.2,352.8,511.2,594,565.2,608.4,493.2,540,568.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,8/09/2022,P,1123.2,1137.6,1083.6,932.4,1101.6,975.6,979.2,878.4,1069.2,1040.4,568.8,421.2,360,316.8,576,468,471.6,471.6,435.6,738,633.6,669.6,630,489.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.6,597.6,586.8,514.8,583.2,547.2,576,489.6,403.2,439.2,248.4,151.2,151.2,115.2,201.6,158.4,154.8,154.8,205.2,320.4,237.6,273.6,298.8,219.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
