,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/01/2022,P,110.4,100.35,113.85,109.05,110.85,110.7,120.9,126.15,146.25,111.45,79.65,130.05,126.75,118.35,123,107.7,119.25,114.6,116.1,125.25,101.1,117.45,113.4,123.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,47.25,58.8,56.85,54.9,57.3,51.3,56.85,62.4,51.75,32.85,52.8,48.75,45.15,45.75,39.75,51.15,54.3,50.25,51.45,33.3,47.7,45.3,51.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/02/2022,P,116.7,106.05,113.25,112.95,116.25,107.85,116.7,119.1,100.2,52.35,47.1,77.7,103.8,104.25,112.8,107.55,110.85,109.5,117.15,118.65,94.35,116.1,116.85,118.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.95,42.3,49.8,47.4,51.9,42.15,51.45,53.1,42.15,24.3,15.3,21.45,32.55,33.9,45.45,43.8,49.2,49.05,36.45,39.9,25.8,45.9,42,47.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/03/2022,P,103.95,99,107.25,121.5,111.3,100.5,115.5,104.85,98.4,103.05,92.4,100.35,104.25,99,92.7,82.2,92.85,90.3,107.1,118.8,106.2,115.35,117,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,41.1,33.9,42,39,43.95,55.5,41.55,30.9,34.95,31.65,30.3,31.95,29.85,27.9,26.25,31.35,31.2,37.65,47.1,38.1,47.85,47.85,50.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/04/2022,P,101.7,97.8,85.95,103.95,84.9,81.3,103.05,60.45,53.4,38.7,37.05,44.85,39.75,39.9,57.45,123,102.75,90.45,96,103.95,94.95,85.35,83.1,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7,39,26.25,37.5,27.75,28.95,39.45,27.15,22.5,17.7,16.65,20.1,19.35,17.85,28.65,59.4,41.25,37.35,32.25,41.25,30.9,27,25.95,30.45,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.15
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/05/2022,P,90.9,81.6,76.8,91.5,100.35,76.35,64.8,45.45,59.55,72.75,75.15,139.05,145.95,132.75,135.15,115.2,121.8,111.6,112.05,116.55,103.5,109.65,110.25,107.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7,22.8,26.55,32.7,37.8,26.1,22.8,17.4,24.45,30,32.4,66.6,68.55,49.65,54.9,39.45,54.45,40.8,40.95,41.4,33.9,39.75,41.4,45.15,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/06/2022,P,112.8,104.55,106.2,107.4,115.8,101.7,102.45,114.15,139.65,120.3,103.05,99.3,125.55,154.35,136.05,127.5,98.7,104.85,113.25,125.85,110.55,94.5,114,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.85,42.45,42,37.95,42.3,32.7,34.65,40.35,65.55,49.35,39.9,36.9,67.35,83.4,55.05,62.1,38.4,43.2,47.1,53.55,48.6,37.35,52.65,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/07/2022,P,110.85,110.4,95.25,108,120.15,106.95,115.05,101.55,83.85,72.75,70.05,67.95,108.75,133.95,121.95,116.7,100.8,125.85,118.05,119.4,115.95,105.15,118.05,114.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,43.95,38.1,46.35,49.65,44.1,43.05,37.05,25.8,25.8,22.95,20.1,40.65,55.8,41.85,37.8,33.9,51.3,40.95,50.55,43.65,31.2,47.85,48.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/08/2022,P,114.15,108.45,109.95,111.9,113.7,110.55,120.75,120.45,102.3,64.65,72.3,85.2,133.5,133.35,130.95,130.65,95.85,111.9,115.5,122.7,103.95,99.45,117.3,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,35.85,41.55,46.05,41.25,44.55,44.4,48.45,34.05,21.3,25.65,31.2,65.55,63.6,57.45,53.85,43.65,50.25,41.55,49.2,41.4,38.4,48.6,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00981,AVICOLA EL MADRONO PTA PRINCIPAL,38289327,4/09/2022,P,111.9,99.3,110.4,102.75,120.45,109.5,113.4,135,138.6,143.1,135.6,126.6,137.85,156.45,137.4,112.35,110.55,121.35,109.5,111.15,103.95,107.4,105.9,101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45,37.35,52.8,44.85,51.75,45.15,44.4,60,56.55,59.25,51.3,46.2,52.95,72.6,63,44.55,52.95,52.8,46.05,39.3,38.55,38.7,35.55,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15
