,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/01/2022,P,72,72,68.4,72,68.4,68.4,57.6,50.4,46.8,46.8,50.4,46.8,50.4,54,50.4,50.4,50.4,64.8,68.4,72,72,68.4,72,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,7.2,7.2,7.2,10.8,3.6,10.8,7.2,7.2,10.8,3.6,7.2,3.6,7.2,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/02/2022,P,72,72,72,90,129.6,154.8,450,482.4,738,846,658.8,723.6,763.2,640.8,748.8,979.2,903.6,824.4,964.8,1036.8,1098,1065.6,961.2,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,32.4,50.4,187.2,169.2,334.8,370.8,241.2,241.2,295.2,244.8,316.8,385.2,367.2,302.4,370.8,392.4,403.2,378,320.4,338.4,7.2,0,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/03/2022,P,997.2,982.8,1087.2,586.8,828,349.2,608.4,1011.6,1004.4,900,914.4,918,1058.4,792,662.4,687.6,932.4,975.6,853.2,990,1015.2,943.2,1026,1076.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.6,327.6,320.4,187.2,259.2,122.4,234,349.2,399.6,352.8,324,378,424.8,280.8,223.2,212.4,360,378,327.6,345.6,374.4,313.2,342,352.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/04/2022,P,921.6,921.6,1062,784.8,957.6,1022.4,1227.6,1202.4,1224,1098,1018.8,1065.6,810,1141.2,1098,1299.6,1396.8,1245.6,1155.6,1105.2,1191.6,1159.2,1184.4,777.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.6,295.2,352.8,316.8,403.2,381.6,388.8,378,460.8,381.6,356.4,399.6,295.2,421.2,421.2,439.2,543.6,504,464.4,428.4,478.8,442.8,478.8,356.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/05/2022,P,874.8,889.2,1076.4,1026,1011.6,810,637.2,828,1047.6,1022.4,928.8,1224,1101.6,910.8,878.4,1058.4,975.6,1245.6,1224,1162.8,936,1018.8,943.2,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,291.6,349.2,338.4,313.2,255.6,219.6,313.2,378,406.8,327.6,457.2,421.2,342,360,421.2,378,475.2,482.4,424.8,320.4,352.8,424.8,457.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/06/2022,P,1209.6,1126.8,932.4,1162.8,1123.2,982.8,831.6,871.2,1112.4,1051.2,1191.6,1180.8,1242,1148.4,885.6,1166.4,1036.8,1267.2,1188,1173.6,1159.2,734.4,918,993.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,453.6,374.4,460.8,450,399.6,284.4,370.8,457.2,414,464.4,486,489.6,392.4,410.4,478.8,381.6,493.2,482.4,489.6,464.4,252,338.4,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/07/2022,P,856.8,1242,1119.6,990,997.2,950.4,752.4,684,986.4,1144.8,1119.6,1047.6,1274.4,1191.6,1184.4,1152,1108.8,918,1008,979.2,1098,921.6,990,997.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.4,468,435.6,374.4,367.2,334.8,295.2,295.2,399.6,446.4,471.6,446.4,500.4,475.2,478.8,414,482.4,370.8,399.6,392.4,367.2,324,381.6,399.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/08/2022,P,1126.8,1036.8,1029.6,1080,1101.6,799.2,831.6,1227.6,968.4,1022.4,1166.4,1148.4,1134,968.4,1245.6,1130.4,1170,1231.2,1242,1353.6,1314,982.8,1101.6,1087.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.6,417.6,424.8,439.2,439.2,298.8,342,493.2,453.6,421.2,482.4,493.2,435.6,388.8,507.6,457.2,442.8,460.8,471.6,532.8,532.8,388.8,374.4,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,1/09/2022,P,954,673.2,1087.2,932.4,878.4,183.6,108,90,93.6,93.6,104.4,90,90,86.4,82.8,90,90,100.8,108,104.4,111.6,115.2,90,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,270,450,417.6,363.6,50.4,21.6,21.6,14.4,14.4,21.6,10.8,10.8,7.2,10.8,14.4,10.8,18,10.8,14.4,18,21.6,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,18
