,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/01/2022,P,756,756,1051.2,932.4,561.6,766.8,932.4,1004.4,864,763.2,853.2,910.8,1058.4,928.8,961.2,1065.6,1180.8,982.8,1310.4,1076.4,1029.6,763.2,684,1022.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.6,248.4,399.6,342,187.2,244.8,316.8,342,273.6,259.2,306,338.4,363.6,327.6,349.2,424.8,435.6,360,471.6,388.8,381.6,248.4,219.6,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/02/2022,P,795.6,817.2,1022.4,756,709.2,630,716.4,702,856.8,1094.4,1112.4,997.2,1209.6,1065.6,1130.4,1101.6,1234.8,961.2,1105.2,1213.2,997.2,918,914.4,705.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,309.6,403.2,313.2,306,208.8,291.6,244.8,313.2,439.2,446.4,410.4,446.4,374.4,399.6,450,478.8,464.4,572.4,590.4,496.8,504,489.6,406.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/03/2022,P,820.8,835.2,810,961.2,975.6,774,874.8,1112.4,1144.8,1119.6,1119.6,867.6,874.8,1054.8,1162.8,1098,1263.6,1299.6,1299.6,1278,1206,1040.4,1022.4,1069.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.8,475.2,450,507.6,518.4,392.4,486,586.8,597.6,576,547.2,424.8,410.4,471.6,565.2,568.8,622.8,637.2,608.4,615.6,622.8,529.2,540,561.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/04/2022,P,896.4,1238.4,1080,982.8,1162.8,1022.4,1198.8,1094.4,1058.4,997.2,1155.6,1270.8,1346.4,1011.6,1087.2,1227.6,1090.8,1130.4,1252.8,1116,1227.6,1058.4,900,968.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.2,626.4,550.8,478.8,590.4,504,432,385.2,338.4,352.8,439.2,453.6,464.4,352.8,421.2,424.8,399.6,432,453.6,453.6,432,349.2,302.4,388.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/05/2022,P,979.2,781.2,817.2,1026,853.2,784.8,968.4,1076.4,1065.6,1090.8,914.4,1130.4,1022.4,820.8,770.4,982.8,846,993.6,907.2,939.6,799.2,248.4,136.8,147.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,302.4,388.8,399.6,298.8,270,388.8,406.8,432,421.2,378,424.8,403.2,316.8,273.6,396,360,410.4,320.4,374.4,259.2,68.4,21.6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/06/2022,P,140.4,140.4,133.2,129.6,118.8,122.4,115.2,111.6,111.6,108,108,108,118.8,126,115.2,97.2,100.8,111.6,144,147.6,198,601.2,777.6,1083.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,21.6,21.6,18,18,18,21.6,18,14.4,18,14.4,21.6,18,18,21.6,18,18,18,21.6,21.6,50.4,205.2,349.2,435.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/07/2022,P,903.6,799.2,1018.8,932.4,885.6,907.2,738,921.6,1004.4,1126.8,932.4,860.4,849.6,990,1134,1314,1234.8,1180.8,1098,1137.6,1188,1098,1026,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.2,262.8,352.8,352.8,342,309.6,352.8,450,446.4,457.2,320.4,277.2,313.2,342,403.2,511.2,504,442.8,460.8,464.4,504,406.8,345.6,370.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/08/2022,P,943.2,1137.6,1270.8,1252.8,1288.8,1184.4,896.4,1105.2,1209.6,1069.2,1155.6,1155.6,1281.6,1141.2,1018.8,1126.8,1083.6,1198.8,1008,1177.2,1101.6,903.6,842.4,975.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.8,460.8,471.6,460.8,496.8,428.4,334.8,435.6,464.4,381.6,406.8,435.6,489.6,424.8,356.4,457.2,385.2,460.8,367.2,482.4,464.4,302.4,334.8,410.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,2/09/2022,P,1044,1130.4,856.8,1022.4,1245.6,932.4,1119.6,1080,1220.4,1198.8,1015.2,1155.6,1227.6,990,910.8,1087.2,1173.6,1263.6,961.2,1234.8,1069.2,982.8,1080,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.2,460.8,298.8,356.4,468,306,421.2,446.4,478.8,482.4,410.4,450,496.8,349.2,295.2,381.6,435.6,518.4,424.8,496.8,442.8,320.4,399.6,475.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
