,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/01/2022,P,1029.6,1047.6,903.6,975.6,1029.6,1015.2,885.6,993.6,1267.2,1094.4,889.2,1076.4,1278,1069.2,1137.6,1332,1051.2,1306.8,1195.2,1011.6,1080,1062,979.2,1036.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.2,428.4,367.2,360,439.2,414,342,432,493.2,396,370.8,388.8,529.2,428.4,417.6,511.2,464.4,514.8,471.6,399.6,428.4,388.8,360,439.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/02/2022,P,1094.4,979.2,874.8,1029.6,1000.8,1036.8,986.4,1040.4,1044,1015.2,1101.6,1191.6,997.2,1022.4,972,968.4,1065.6,1116,1184.4,1191.6,1162.8,972,846,964.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.6,370.8,345.6,439.2,424.8,406.8,374.4,439.2,417.6,378,421.2,507.6,428.4,381.6,360,432,486,435.6,464.4,468,403.2,327.6,277.2,338.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/03/2022,P,1141.2,788.4,939.6,1306.8,1206,1065.6,792,1015.2,1123.2,1018.8,1029.6,838.8,975.6,1116,1080,1072.8,867.6,982.8,993.6,1076.4,1040.4,975.6,896.4,1195.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.8,277.2,352.8,500.4,468,363.6,266.4,367.2,453.6,428.4,392.4,295.2,388.8,388.8,424.8,414,381.6,381.6,327.6,435.6,374.4,356.4,324,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/04/2022,P,1256.4,1195.2,1198.8,1198.8,1116,1051.2,1155.6,1256.4,1220.4,1209.6,1105.2,1227.6,1360.8,1234.8,1252.8,1350,1173.6,1436.4,1422,1152,1170,1015.2,813.6,968.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.4,414,460.8,439.2,381.6,363.6,460.8,453.6,486,435.6,381.6,414,507.6,475.2,442.8,529.2,478.8,561.6,543.6,446.4,450,324,270,352.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/05/2022,P,990,1162.8,910.8,856.8,1044,1170,1105.2,1173.6,1249.2,1245.6,1080,1062,1108.8,810,1134,1227.6,1105.2,907.2,838.8,997.2,975.6,954,936,1029.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.6,464.4,345.6,302.4,410.4,446.4,385.2,453.6,450,421.2,349.2,338.4,453.6,385.2,471.6,500.4,475.2,327.6,356.4,356.4,374.4,385.2,367.2,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/06/2022,P,1054.8,1008,860.4,1108.8,1040.4,194.4,111.6,104.4,104.4,104.4,104.4,97.2,90,82.8,86.4,82.8,82.8,97.2,100.8,122.4,126,331.2,946.8,993.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.6,399.6,378,468,414,64.8,25.2,21.6,21.6,21.6,21.6,21.6,14.4,18,14.4,18,18,18,10.8,18,21.6,115.2,399.6,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/07/2022,P,1062,1101.6,1116,1098,1018.8,914.4,756,662.4,536.4,453.6,471.6,360,381.6,316.8,468,874.8,1011.6,986.4,1137.6,1321.2,1360.8,954,964.8,928.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.8,446.4,457.2,399.6,327.6,345.6,273.6,219.6,194.4,162,169.2,136.8,144,126,180,421.2,392.4,352.8,446.4,525.6,532.8,396,392.4,331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/08/2022,P,1116,1076.4,903.6,1094.4,1051.2,889.2,1195.2,1040.4,1227.6,1288.8,1098,1288.8,1209.6,1206,1162.8,1112.4,964.8,1040.4,1202.4,1180.8,972,1022.4,874.8,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,428.4,331.2,421.2,464.4,320.4,489.6,396,450,453.6,352.8,471.6,478.8,450,417.6,435.6,381.6,345.6,442.8,464.4,320.4,410.4,385.2,399.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/09/2022,P,864,1119.6,1162.8,1090.8,1062,1112.4,1015.2,1036.8,1116,1130.4,1141.2,1173.6,518.4,554.4,990,1335.6,1188,1378.8,1123.2,1224,1184.4,712.8,820.8,903.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.4,410.4,439.2,432,338.4,421.2,370.8,414,417.6,446.4,450,496.8,273.6,198,349.2,496.8,486,518.4,457.2,504,486,313.2,320.4,338.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/10/2022,P,1047.6,943.2,1004.4,1098,1231.2,1029.6,849.6,1191.6,1274.4,1224,1069.2,1112.4,1015.2,1123.2,993.6,1220.4,1080,1087.2,1036.8,928.8,1274.4,1130.4,1263.6,1256.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.4,360,399.6,439.2,496.8,403.2,298.8,464.4,486,482.4,363.6,414,360,428.4,324,471.6,442.8,435.6,385.2,403.2,504,439.2,500.4,518.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/11/2022,P,1260,1144.8,1177.2,939.6,885.6,903.6,907.2,1033.2,961.2,1130.4,1108.8,907.2,838.8,676.8,788.4,1065.6,1094.4,1177.2,1281.6,1249.2,1242,1076.4,1148.4,1090.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.4,446.4,457.2,327.6,320.4,378,309.6,399.6,417.6,453.6,464.4,320.4,270,230.4,334.8,424.8,396,453.6,486,468,471.6,410.4,460.8,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,3/12/2022,P,1076.4,1044,1083.6,1166.4,979.2,842.4,939.6,828,907.2,1231.2,961.2,871.2,1058.4,964.8,1098,1288.8,1152,1076.4,1101.6,968.4,964.8,208.8,104.4,82.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.2,424.8,414,432,378,288,306,270,291.6,424.8,374.4,288,356.4,320.4,453.6,507.6,468,414,450,360,370.8,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,25.2,28.8
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/13/2022,P,68.4,64.8,61.2,61.2,61.2,57.6,61.2,97.2,104.4,108,104.4,104.4,97.2,93.6,93.6,97.2,97.2,100.8,115.2,154.8,198,324,644.4,842.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6,0,3.6,0,3.6,0,3.6,3.6,3.6,25.2,54,111.6,212.4,288,32.4,36,39.6,39.6,36,39.6,32.4,3.6,3.6,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/14/2022,P,727.2,712.8,896.4,781.2,795.6,597.6,874.8,903.6,950.4,925.2,1040.4,1119.6,1170,939.6,1184.4,1018.8,1094.4,1162.8,964.8,1134,1051.2,1090.8,1141.2,1000.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.6,219.6,320.4,244.8,248.4,194.4,302.4,284.4,327.6,306,331.2,360,381.6,327.6,378,356.4,367.2,388.8,338.4,367.2,349.2,338.4,367.2,334.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/15/2022,P,1177.2,1270.8,1080,1126.8,1116,1015.2,878.4,1058.4,975.6,1072.8,1155.6,1069.2,1173.6,1180.8,1188,1026,1224,1209.6,1134,1242,1054.8,928.8,943.2,1047.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,403.2,349.2,360,349.2,316.8,288,334.8,313.2,349.2,381.6,360,392.4,388.8,417.6,363.6,396,410.4,385.2,417.6,378,316.8,324,331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/16/2022,P,1047.6,1292.4,1245.6,1180.8,1332,1166.4,1141.2,1126.8,1162.8,1076.4,1216.8,1188,1220.4,1292.4,1216.8,1173.6,1076.4,1008,1170,1267.2,1137.6,910.8,1026,1119.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.4,403.2,421.2,410.4,496.8,410.4,403.2,428.4,468,403.2,421.2,381.6,453.6,450,486,435.6,403.2,316.8,442.8,511.2,475.2,406.8,446.4,489.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/17/2022,P,1299.6,1292.4,954,1148.4,1342.8,1206,1252.8,1328.4,1224,1288.8,1306.8,1227.6,1177.2,1036.8,1123.2,1033.2,1278,1317.6,1195.2,950.4,946.8,874.8,1087.2,1177.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.4,478.8,313.2,399.6,529.2,468,511.2,536.4,475.2,507.6,493.2,446.4,457.2,435.6,403.2,432,522,500.4,392.4,381.6,342,309.6,439.2,471.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/18/2022,P,946.8,1101.6,1191.6,1270.8,1335.6,1011.6,943.2,1342.8,1220.4,1036.8,1288.8,1209.6,1173.6,1144.8,1166.4,986.4,1000.8,1213.2,1062,1141.2,1101.6,957.6,1018.8,1126.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.6,403.2,442.8,496.8,493.2,345.6,367.2,518.4,468,396,496.8,471.6,432,421.2,432,403.2,414,432,414,403.2,468,345.6,410.4,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/19/2022,P,1087.2,1256.4,1112.4,993.6,986.4,1022.4,914.4,867.6,932.4,1155.6,1270.8,1047.6,1119.6,982.8,997.2,1119.6,1076.4,1126.8,1137.6,1220.4,954,244.8,100.8,86.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,493.2,428.4,385.2,360,388.8,320.4,414,388.8,421.2,453.6,367.2,450,327.6,342,464.4,439.2,439.2,414,486,356.4,57.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,46.8,46.8
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/20/2022,P,75.6,79.2,75.6,57.6,54,54,50.4,36,75.6,86.4,90,86.4,82.8,82.8,75.6,86.4,79.2,64.8,54,57.6,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,46.8,50.4,54,50.4,54,50.4,50.4,28.8,18,18,14.4,18,21.6,18,10.8,10.8,39.6,50.4,50.4,50.4,54,54,50.4
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/21/2022,P,54,54,54,54,54,57.6,61.2,104.4,118.8,108,100.8,104.4,108,136.8,597.6,730.8,792,986.4,964.8,1044,1119.6,864,1144.8,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,3.6,3.6,0,0,0,25.2,183.6,244.8,352.8,414,403.2,410.4,428.4,291.6,432,417.6,54,54,50.4,50.4,54,54,43.2,0,0,3.6,10.8,7.2,7.2,3.6,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/22/2022,P,1072.8,1112.4,1072.8,910.8,885.6,576,730.8,975.6,597.6,540,669.6,576,813.6,1245.6,1202.4,1278,1245.6,1044,1040.4,1155.6,1227.6,1054.8,1083.6,1198.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.8,489.6,482.4,392.4,316.8,270,316.8,385.2,223.2,226.8,248.4,255.6,295.2,482.4,478.8,486,471.6,349.2,421.2,464.4,457.2,385.2,367.2,464.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/23/2022,P,1162.8,914.4,1144.8,1188,1227.6,1080,662.4,788.4,1195.2,1105.2,1148.4,1231.2,1126.8,1008,1166.4,1094.4,1137.6,1216.8,1220.4,1209.6,1184.4,1044,903.6,1321.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,334.8,414,475.2,507.6,482.4,306,280.8,424.8,399.6,424.8,489.6,468,331.2,414,403.2,367.2,457.2,482.4,475.2,442.8,428.4,306,518.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/24/2022,P,1206,1170,1094.4,1101.6,1216.8,1101.6,1162.8,1051.2,1116,1324.8,867.6,1087.2,957.6,896.4,810,777.6,1080,853.2,1044,1119.6,1047.6,1054.8,1094.4,1130.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.8,471.6,439.2,471.6,493.2,381.6,450,396,450,504,378,424.8,352.8,331.2,266.4,367.2,446.4,374.4,392.4,432,421.2,345.6,457.2,435.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/25/2022,P,1328.4,1159.2,1022.4,1306.8,1368,939.6,1015.2,1152,1094.4,1098,986.4,1166.4,1180.8,1173.6,1134,1332,1306.8,1303.2,1141.2,982.8,1238.4,1148.4,1116,1159.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.8,457.2,403.2,525.6,529.2,424.8,417.6,468,399.6,360,338.4,450,410.4,435.6,475.2,511.2,514.8,504,385.2,338.4,478.8,482.4,468,478.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/26/2022,P,1285.2,1170,1249.2,1004.4,1314,1029.6,1180.8,950.4,1051.2,1407.6,1443.6,968.4,1090.8,1033.2,1080,892.8,1094.4,835.2,993.6,1159.2,1080,914.4,1184.4,1299.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.2,446.4,460.8,378,493.2,338.4,468,316.8,439.2,529.2,540,352.8,374.4,370.8,446.4,410.4,457.2,410.4,417.6,392.4,410.4,309.6,439.2,514.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/27/2022,P,1256.4,1242,1155.6,1108.8,1029.6,187.2,108,126,118.8,97.2,82.8,115.2,86.4,79.2,79.2,79.2,79.2,86.4,104.4,118.8,126,273.6,1018.8,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.6,504,471.6,446.4,396,39.6,7.2,3.6,0,0,0,0,0,0,0,0,0,0,0,0,3.6,68.4,432,270,0,0,0,0,0,0,0,0,3.6,10.8,7.2,10.8,14.4,18,14.4,14.4,14.4,14.4,14.4,18,14.4,3.6,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/28/2022,P,975.6,882,1188,979.2,882,900,979.2,867.6,964.8,860.4,781.2,842.4,1188,1141.2,993.6,864,892.8,1008,1011.6,882,982.8,705.6,1008,1040.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.6,345.6,446.4,349.2,313.2,298.8,334.8,316.8,381.6,352.8,338.4,324,406.8,453.6,385.2,342,370.8,417.6,439.2,345.6,327.6,248.4,356.4,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,03/29/2022,P,957.6,810,788.4,954,1083.6,943.2,979.2,1234.8,1224,1155.6,964.8,1108.8,1242,932.4,990,939.6,871.2,1062,1080,1036.8,997.2,1033.2,820.8,784.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.8,313.2,291.6,388.8,424.8,302.4,352.8,486,475.2,435.6,396,460.8,446.4,352.8,392.4,432,388.8,424.8,457.2,421.2,403.2,406.8,352.8,349.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
