,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/01/2022,P,702,730.8,673.2,594,561.6,165.6,90,100.8,97.2,97.2,118.8,108,104.4,115.2,226.8,644.4,568.8,1026,1134,1044,1134,781.2,842.4,1065.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.8,338.4,298.8,219.6,154.8,36,14.4,21.6,18,18,25.2,18,14.4,18,68.4,255.6,252,442.8,471.6,464.4,486,388.8,378,468,0,0,0,0,0,3.6,3.6,0,3.6,0,3.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/02/2022,P,1011.6,1098,975.6,824.4,885.6,669.6,979.2,939.6,990,928.8,1162.8,1051.2,1220.4,1245.6,1000.8,838.8,961.2,1180.8,1040.4,1123.2,1069.2,874.8,1123.2,1126.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,478.8,374.4,396,414,277.2,453.6,385.2,446.4,392.4,504,432,561.6,543.6,446.4,356.4,414,500.4,406.8,489.6,414,306,486,547.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/03/2022,P,1148.4,1054.8,1015.2,1101.6,982.8,921.6,878.4,1195.2,1231.2,1220.4,997.2,1195.2,1011.6,1112.4,1062,1152,1126.8,900,1080,1242,1162.8,1015.2,961.2,867.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.4,439.2,428.4,486,457.2,324,378,514.8,554.4,500.4,471.6,496.8,439.2,500.4,446.4,522,529.2,378,421.2,518.4,464.4,453.6,403.2,421.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/04/2022,P,788.4,993.6,914.4,766.8,813.6,723.6,712.8,781.2,1036.8,1198.8,986.4,907.2,1058.4,928.8,1288.8,1285.2,1288.8,1137.6,1224,1206,1162.8,936,993.6,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.4,396,439.2,374.4,360,252,302.4,280.8,406.8,525.6,414,352.8,403.2,414,543.6,547.2,536.4,475.2,522,504,424.8,349.2,349.2,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/05/2022,P,813.6,741.6,792,806.4,964.8,806.4,1170,1123.2,1123.2,1180.8,1000.8,1216.8,1144.8,1242,1047.6,1098,1123.2,1191.6,982.8,1029.6,1256.4,1119.6,1008,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.6,388.8,370.8,356.4,388.8,331.2,547.2,471.6,514.8,478.8,442.8,511.2,435.6,529.2,522,460.8,504,489.6,381.6,392.4,532.8,496.8,388.8,446.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/06/2022,P,986.4,986.4,1245.6,1080,1015.2,1134,1134,1350,1090.8,1170,1422,1173.6,1062,1044,1141.2,1040.4,1069.2,1177.2,1101.6,903.6,957.6,730.8,806.4,950.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.4,446.4,540,489.6,392.4,464.4,511.2,568.8,417.6,482.4,601.2,543.6,496.8,428.4,493.2,442.8,471.6,482.4,489.6,442.8,432,306,248.4,374.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/07/2022,P,1119.6,1076.4,1166.4,1069.2,975.6,885.6,802.8,1040.4,1062,1108.8,1051.2,1170,1119.6,1108.8,892.8,640.8,680.4,882,972,957.6,817.2,810,799.2,914.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.4,482.4,525.6,475.2,439.2,306,342,424.8,511.2,435.6,464.4,507.6,486,514.8,367.2,212.4,259.2,388.8,478.8,453.6,439.2,378,374.4,442.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/08/2022,P,734.4,820.8,586.8,950.4,748.8,158.4,90,90,90,86.4,90,86.4,90,86.4,86.4,82.8,93.6,97.2,108,129.6,129.6,241.2,781.2,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.2,399.6,259.2,435.6,334.8,50.4,14.4,14.4,14.4,14.4,14.4,10.8,18,10.8,10.8,10.8,18,10.8,14.4,18,28.8,72,316.8,396,0,0,0,0,0,0,3.6,0,3.6,0,3.6,3.6,0,0,3.6,3.6,0,3.6,0,3.6,0,3.6,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,5/09/2022,P,874.8,853.2,936,716.4,950.4,777.6,316.8,316.8,399.6,730.8,892.8,1083.6,1080,997.2,921.6,1015.2,1036.8,1375.2,824.4,806.4,788.4,914.4,993.6,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.8,381.6,345.6,356.4,406.8,295.2,100.8,90,144,309.6,356.4,450,496.8,424.8,403.2,450,478.8,572.4,316.8,295.2,288,396,381.6,439.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
